mode,num_envs,num_motions,terminated_prob,time_step_total,bin_count,avg_resample_env_ids,iters,warmup,frames_per_motion,length_jitter,bin_size,alpha,use_bincount,adaptive_kernel_size,adaptive_lambda,adaptive_uniform_ratio,adaptive_alpha,total_ms,get_env_ids_ms,post_update_ms,resample_ms,dist_ms,adaptive_ms
cmd3,4096,16000,0.2,48010422,960209,819.265,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2903904963750392,0.10784852434881032,0.0,0.11347348103299737,0.06906849099323153,0.0
cmd1,4096,16000,0.6,48010422,960209,2455.605,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7557968678884208,0.11553860502317548,0.17216033302247524,0.4680979298427701,0.0,0.0
cmd2,4096,16000,0.6,48010422,960209,2455.62,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.6958667165599763,0.10117437806911767,0.03314109635539353,0.0,0.0,0.5615512421354651
cmd3,4096,16000,0.6,48010422,960209,2455.23,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2625739749055356,0.09665215853601694,0.0,0.09759957087226212,0.06832224549725652,0.0
cmd1,4096,16000,0.98,48010422,960209,4013.705,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.6715350179001689,0.10691226343624294,0.14810515334829688,0.4165176011156291,0.0,0.0
cmd2,4096,16000,0.98,48010422,960209,4013.715,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7492904574610293,0.1050146110355854,0.03477767575532198,0.0,0.0,0.6094981706701219
cmd3,4096,16000,0.98,48010422,960209,4013.705,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.29303522082045674,0.11350320186465979,0.0,0.10365214082412422,0.07587987813167274,0.0
cmd1,16384,1,0.05,2869,58,824.57,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3871281584724784,0.1337876613251865,0.1366184267681092,0.1167220703791827,0.0,0.0
cmd2,16384,1,0.05,2869,58,824.085,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4651783767621964,0.14654992264695466,0.02626513014547527,0.0,0.0,0.2923633239697665
cmd3,16384,1,0.05,2869,58,824.11,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.29323749942705035,0.12800660566426814,0.0,0.0905107008293271,0.07472019293345511,0.0
cmd1,16384,1,0.2,2869,58,3290.59,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3887797857169062,0.12686066329479218,0.14735986129380763,0.11455926112830639,0.0,0.0
cmd2,16384,1,0.2,2869,58,3287.12,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.41600582422688603,0.12072603916749358,0.027543188771232963,0.0,0.0,0.2677365962881595
cmd3,16384,1,0.2,2869,58,3286.665,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2965511835645884,0.12144387932494283,0.0,0.09525738190859556,0.07984992233105004,0.0
cmd1,16384,1,0.6,2869,58,9841.365,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.449591267388314,0.13408393948338926,0.1758016098756343,0.13970571802929044,0.0,0.0
cmd2,16384,1,0.6,2869,58,9831.03,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.48061983892694116,0.133011614670977,0.027689499547705054,0.0,0.0,0.3199187247082591
cmd3,16384,1,0.6,2869,58,9831.07,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.33269761479459703,0.13370056985877454,0.0,0.11090440209954977,0.08809264283627272,0.0
cmd1,16384,1,0.98,2869,58,16056.35,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4626221559010446,0.13755446881987154,0.1903985918033868,0.13466909527778625,0.0,0.0
cmd2,16384,1,0.98,2869,58,16054.78,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.48466720385476947,0.13547936221584678,0.025760133285075426,0.0,0.0,0.32342770835384727
cmd3,16384,1,0.98,2869,58,16054.78,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3261716349516064,0.14406251604668796,0.0,0.09448511176742613,0.0876240071374923,0.0
cmd1,16384,50,0.05,148994,2980,823.565,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.42175573529675603,0.15069956425577402,0.1459123974200338,0.1251437736209482,0.0,0.0
cmd2,16384,50,0.05,148994,2980,823.345,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4746066976804286,0.14424534747377038,0.0262816424947232,0.0,0.0,0.30407970771193504
cmd3,16384,50,0.05,148994,2980,824.085,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.32540988526307046,0.13742857263423502,0.0,0.10821342701092362,0.07976788561791182,0.0
cmd1,16384,50,0.2,148994,2980,3286.935,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4421675845514983,0.1344224321655929,0.1687361509539187,0.1390090014319867,0.0,0.0
cmd2,16384,50,0.2,148994,2980,3286.91,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.526675614528358,0.15661645447835326,0.029799715848639607,0.0,0.0,0.3402594442013651
cmd3,16384,50,0.2,148994,2980,3286.685,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3289475862402469,0.13978329254314303,0.0,0.10347906616516411,0.08568522753193974,0.0
cmd1,16384,50,0.6,148994,2980,9832.39,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.44185054721310735,0.1423468056600541,0.16775107942521572,0.13175266212783754,0.0,0.0
cmd2,16384,50,0.6,148994,2980,9832.3,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.49670125474222004,0.15141544863581657,0.026758440071716905,0.0,0.0,0.31852736603468657
cmd3,16384,50,0.6,148994,2980,9831.045,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.297024950850755,0.12337333871982992,0.0,0.09802670800127089,0.07562490412965417,0.0
cmd1,16384,50,0.98,148994,2980,16054.92,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4118653782643378,0.1160346926189959,0.1637844741344452,0.13204621151089668,0.0,0.0
cmd2,16384,50,0.98,148994,2980,16054.89,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.45029660570435226,0.12551865656860173,0.0246423261705786,0.0,0.0,0.30013562296517193
cmd3,16384,50,0.98,148994,2980,16054.78,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2956075547263026,0.12788461172021925,0.0,0.095609191339463,0.07211375166662037,0.0
cmd1,16384,800,0.05,2399811,47997,822.73,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4068093409296125,0.12906307354569435,0.14382149558514357,0.1339247717987746,0.0,0.0
cmd2,16384,800,0.05,2399811,47997,822.89,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4325954825617373,0.1343045209068805,0.023714557755738497,0.0,0.0,0.2745764038991183
cmd3,16384,800,0.05,2399811,47997,823.73,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.29133889940567315,0.12004599557258189,0.0,0.09502002270892262,0.07627288112416863,0.0
cmd1,16384,800,0.2,2399811,47997,3287.445,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4029249760787934,0.11879835510626435,0.15618916018866003,0.12793746078386903,0.0,0.0
cmd2,16384,800,0.2,2399811,47997,3286.985,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4423452913761139,0.12279635528102517,0.026326609076932073,0.0,0.0,0.29322232701815665
cmd3,16384,800,0.2,2399811,47997,3286.445,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2979243139270693,0.12210122775286436,0.0,0.09202941553667188,0.08379367063753307,0.0
cmd1,16384,800,0.6,2399811,47997,9832.22,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4211788368411362,0.11895707924850285,0.1589629822410643,0.14325877535156906,0.0,0.0
cmd2,16384,800,0.6,2399811,47997,9832.175,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.44962778803892434,0.12449767324142158,0.023583126021549106,0.0,0.0,0.30154698877595365
cmd3,16384,800,0.6,2399811,47997,9831.05,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.29960568295791745,0.12134133256040514,0.0,0.09922097087837756,0.07904337951913476,0.0
cmd1,16384,800,0.98,2399811,47997,16054.885,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.42120493366383016,0.12736289645545185,0.1591211254708469,0.13472091173753142,0.0,0.0
cmd2,16384,800,0.98,2399811,47997,16054.875,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.45194126199930906,0.12127690366469324,0.024234672309830785,0.0,0.0,0.30642968602478504
cmd3,16384,800,0.98,2399811,47997,16054.78,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2925177523866296,0.12602945556864142,0.0,0.09347085142508149,0.07301744539290667,0.0
cmd1,16384,16000,0.05,48010422,960209,823.39,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.6886990496423095,0.12203610152937472,0.13848651316948235,0.4281764349434525,0.0,0.0
cmd2,16384,16000,0.05,48010422,960209,823.33,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.736745820613578,0.14473291346803308,0.029626726172864437,0.0,0.0,0.5623861809726804
cmd3,16384,16000,0.05,48010422,960209,823.82,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2992340817581862,0.1305111951660365,0.0,0.09546437649987638,0.07325851009227335,0.0
cmd1,16384,16000,0.2,48010422,960209,3286.82,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.8739152527414262,0.18315370893105865,0.19593517645262182,0.49482636735774577,0.0,0.0
cmd2,16384,16000,0.2,48010422,960209,3287.215,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7232075312640518,0.13370267464779317,0.028898093150928617,0.0,0.0,0.56060676346533
cmd3,16384,16000,0.2,48010422,960209,3286.55,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2955817827023566,0.1263716584071517,0.0,0.09781552595086396,0.07139459834434092,0.0
cmd1,16384,16000,0.6,48010422,960209,9832.135,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7779406127519906,0.1552815642207861,0.1831919269170612,0.43946712161414325,0.0,0.0
cmd2,16384,16000,0.6,48010422,960209,9832.11,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7428828824777156,0.12837349553592503,0.028944299556314945,0.0,0.0,0.5855650873854756
cmd3,16384,16000,0.6,48010422,960209,9831.07,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2996795147191733,0.12933567631989717,0.0,0.09551651543006301,0.07482732296921313,0.0
cmd1,16384,16000,0.98,48010422,960209,16054.91,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7765185297466815,0.13916932162828743,0.19017964717932045,0.44716956093907356,0.0,0.0
cmd2,16384,16000,0.98,48010422,960209,16054.855,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7330355036538094,0.12598831905052066,0.028767456533387303,0.0,0.0,0.5782797280699015
cmd3,16384,16000,0.98,48010422,960209,16054.78,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.28774115489795804,0.11922557721845806,0.0,0.0945260631851852,0.07398951449431479,0.0
cmd1,131040,1,0.05,2869,58,6602.745,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4105863638687879,0.1306791405659169,0.16852786066010594,0.11137936264276505,0.0,0.0
